time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.367000,0.3460,-0.0990,0.3844,0.527
0.371000,0.4416,-0.1412,0.5418,0.713
0.377000,0.4776,-0.1812,0.6487,0.826
0.381000,0.4787,-0.2407,0.6346,0.830
0.387000,0.5076,-0.2838,0.6450,0.868
0.392000,0.4942,-0.3828,0.6518,0.903
0.397000,0.4934,-0.4110,0.5757,0.862
0.401000,0.4936,-0.4593,0.5128,0.847
0.408000,0.5187,-0.5062,0.4366,0.846
0.411000,0.5374,-0.5516,0.3064,0.829
0.416000,0.5162,-0.5714,0.1533,0.785
0.422000,0.4313,-0.5582,0.0535,0.707
0.428000,0.4192,-0.5237,-0.0028,0.671
0.432000,0.4343,-0.4625,-0.1192,0.646
0.437000,0.4168,-0.3934,-0.2480,0.624
0.443000,0.4505,-0.2944,-0.2988,0.616
0.448000,0.4543,-0.2034,-0.3460,0.606
0.453000,0.4593,-0.1111,-0.3227,0.572
0.458000,0.3837,-0.0486,-0.2311,0.451
0.463000,0.2800,-0.0811,-0.1092,0.311
0.468000,0.1467,-0.1125,0.0502,0.192
0.473000,-0.0001,-0.1962,0.2038,0.283
0.478000,-0.1298,-0.2634,0.3069,0.425
0.483000,-0.2278,-0.3123,0.4151,0.567
0.488000,-0.2539,-0.3552,0.4879,0.655
0.494000,-0.2540,-0.3873,0.4760,0.664
0.498000,-0.2805,-0.4277,0.3657,0.629
0.504000,-0.2691,-0.4354,0.1929,0.547
0.508000,-0.2795,-0.4433,0.0052,0.524
0.514000,-0.2716,-0.3965,-0.1313,0.498
0.519000,-0.2670,-0.3422,-0.3338,0.548
0.524000,-0.1752,-0.2802,-0.5285,0.623
0.528000,-0.0863,-0.2244,-0.6017,0.648
0.535000,0.0024,-0.1510,-0.6067,0.625
0.540000,0.0936,-0.0530,-0.5606,0.571
0.547000,0.1704,0.0075,-0.4804,0.510
0.549000,0.2187,0.0305,-0.3399,0.405
0.554000,0.1789,0.0777,-0.1655,0.256
0.560000,0.1299,0.0678,-0.0095,0.147
0.565000,0.0690,0.0388,0.1644,0.182
0.569000,0.0462,0.0309,0.3206,0.325
0.574000,-0.0076,0.0177,0.4380,0.438
0.579000,-0.0284,-0.0343,0.5149,0.517
0.584000,-0.0258,-0.0916,0.5160,0.525
0.589000,-0.0044,-0.1447,0.5179,0.538
0.596000,0.0332,-0.1699,0.5159,0.544
0.600000,0.0587,-0.1791,0.5029,0.537
0.605000,0.1244,-0.1819,0.4621,0.512
0.610000,0.1802,-0.2043,0.3913,0.477
0.615000,0.1859,-0.2388,0.3002,0.426
0.622000,0.1797,-0.2805,0.2030,0.390
0.626000,0.1734,-0.3338,0.0593,0.381
0.629000,0.1912,-0.3652,-0.0762,0.419
0.636000,0.2020,-0.3794,-0.1871,0.469
0.641000,0.2229,-0.3907,-0.2451,0.512
0.647000,0.2874,-0.3657,-0.2817,0.544
0.651000,0.3215,-0.3356,-0.2899,0.548
0.656000,0.3395,-0.2792,-0.2888,0.526
0.663000,0.3315,-0.2512,-0.2717,0.497
0.665000,0.2857,-0.2371,-0.2645,0.456
0.671000,0.2352,-0.1941,-0.2556,0.398
0.677000,0.1944,-0.1534,-0.2234,0.334
0.681000,0.1849,-0.1101,-0.1873,0.285
0.688000,0.1708,-0.0312,-0.1089,0.205
0.691000,0.1835,0.0306,-0.0314,0.189
0.697000,0.1654,0.0776,0.0859,0.202
0.702000,0.1261,0.1098,0.1740,0.241
0.707000,0.0940,0.1082,0.2591,0.296
0.712000,0.0621,0.1466,0.3153,0.353
0.716000,0.0419,0.1535,0.3832,0.415
0.722000,0.0451,0.1719,0.4508,0.485
0.727000,0.0360,0.1801,0.4873,0.521
0.731000,0.0596,0.1711,0.4954,0.528
0.739000,0.0919,0.1761,0.4943,0.533
0.742000,0.1021,0.1688,0.4649,0.505
0.748000,0.1233,0.1281,0.4264,0.462
0.752000,0.1412,0.1018,0.3479,0.389
0.757000,0.2036,0.1089,0.2630,0.350
0.762000,0.2440,0.0947,0.1739,0.314
0.767000,0.3083,0.0784,0.1282,0.343
0.773000,0.3558,0.0957,0.0828,0.378
0.778000,0.4371,0.1132,0.0850,0.459
0.783000,0.5209,0.1167,0.0916,0.542
0.787000,0.5312,0.1489,0.1194,0.564
0.793000,0.5467,0.1314,0.1301,0.577
0.798000,0.4983,0.0999,0.1358,0.526
0.806000,0.4434,0.0853,0.2033,0.495
0.808000,0.3725,0.0610,0.2728,0.466
0.812000,0.3094,-0.0061,0.3230,0.447
0.817000,0.2567,-0.0803,0.3590,0.449
0.824000,0.1927,-0.1140,0.3738,0.436
0.828000,0.1154,-0.1360,0.3723,0.413
0.833000,0.0768,-0.1535,0.3356,0.377
0.840000,0.0241,-0.1617,0.2710,0.316
0.847000,-0.0592,-0.1486,0.1785,0.240
0.849000,-0.1662,-0.1593,0.0440,0.234
0.854000,-0.2707,-0.1815,-0.1040,0.342
0.858000,-0.3775,-0.2389,-0.2582,0.516
0.865000,-0.4246,-0.2549,-0.3902,0.630
0.869000,-0.4335,-0.2511,-0.4908,0.701
0.874000,-0.4351,-0.2871,-0.5863,0.785
0.879000,-0.4246,-0.3222,-0.6484,0.839
0.885000,-0.3926,-0.3731,-0.6914,0.878
0.889000,-0.3706,-0.4088,-0.7131,0.902
0.894000,-0.3700,-0.4698,-0.7470,0.957
0.900000,-0.3501,-0.5345,-0.7431,0.980
0.906000,-0.3059,-0.5433,-0.7255,0.957
0.909000,-0.2613,-0.5299,-0.6635,0.888
0.915000,-0.1972,-0.5040,-0.5883,0.799
0.919000,-0.1544,-0.4847,-0.4787,0.699
0.925000,-0.1422,-0.4341,-0.3682,0.587
0.930000,-0.1609,-0.3785,-0.2282,0.470
0.935000,-0.1747,-0.3063,-0.0708,0.360
0.939000,-0.2007,-0.2201,0.0968,0.313
0.946000,-0.2604,-0.1439,0.2510,0.389
0.950000,-0.3182,-0.0851,0.4062,0.523
0.956000,-0.3647,-0.0131,0.5749,0.681
0.960000,-0.4141,0.0098,0.7191,0.830
0.965000,-0.4286,0.0289,0.8156,0.922
0.972000,-0.4227,0.0608,0.8696,0.969
0.976000,-0.4014,0.0553,0.8910,0.979
0.980000,-0.3504,0.0769,0.8588,0.931
0.985000,-0.2603,0.0471,0.7710,0.815
0.991000,-0.1546,0.0165,0.6230,0.642
0.996000,-0.0615,0.0281,0.4579,0.463
1.001000,0.0715,0.0275,0.2921,0.302
1.006000,0.1776,0.0343,0.1061,0.210
1.011000,0.2735,0.0630,-0.0717,0.290
1.015000,0.3475,0.0876,-0.2036,0.412
1.021000,0.4041,0.1131,-0.3093,0.521
1.026000,0.4339,0.1397,-0.3559,0.578
1.032000,0.4016,0.1577,-0.3555,0.559
1.039000,0.3672,0.1147,-0.2657,0.468
1.041000,0.4443,0.1392,-0.1558,0.491
1.047000,0.5442,0.2349,-0.0328,0.594
1.052000,0.5975,0.3250,0.0987,0.687
1.057000,0.5810,0.3119,0.2603,0.709
1.065000,0.5874,0.2361,0.3619,0.729
1.067000,0.6120,0.1264,0.4163,0.751
1.072000,0.6504,0.0019,0.4359,0.783
1.078000,0.7241,-0.0639,0.3808,0.821
1.083000,0.8453,-0.1449,0.2990,0.908
1.088000,0.9093,-0.1885,0.1500,0.941
1.092000,0.9812,-0.2918,-0.0182,1.024
1.098000,0.9991,-0.3804,-0.2203,1.092
1.103000,1.0370,-0.4658,-0.4206,1.212
1.108000,1.0903,-0.5500,-0.5934,1.358
1.112000,1.1446,-0.5876,-0.7369,1.483
1.118000,1.1950,-0.5857,-0.8636,1.586
1.123000,1.2086,-0.5583,-0.9193,1.618
1.129000,1.2027,-0.4796,-0.8738,1.562
1.133000,1.1395,-0.4209,-0.7400,1.422
1.141000,1.0577,-0.3041,-0.5302,1.222
1.148000,0.9020,-0.2464,-0.2685,0.973
1.148000,0.7009,-0.1813,0.0284,0.724
1.152000,0.4704,-0.1380,0.3014,0.575
1.158000,0.2126,-0.0814,0.5702,0.614
1.164000,-0.0201,-0.0523,0.8256,0.827
1.169000,-0.2304,-0.0107,1.0682,1.093
1.175000,-0.3806,-0.0190,1.2417,1.299
1.179000,-0.4952,-0.0203,1.3350,1.424
1.183000,-0.6004,-0.0501,1.3369,1.466
1.189000,-0.6440,-0.1058,1.2529,1.413
1.193000,-0.6623,-0.1402,1.0743,1.270
1.199000,-0.6771,-0.1544,0.8084,1.066
1.206000,-0.6932,-0.1619,0.4500,0.842
1.209000,-0.6602,-0.1620,0.0943,0.686
1.214000,-0.6015,-0.1278,-0.2355,0.658
1.219000,-0.5044,-0.1043,-0.5037,0.720
1.226000,-0.3759,-0.0434,-0.6797,0.778
1.229000,-0.2706,0.0099,-0.8021,0.847
1.235000,-0.1744,0.0721,-0.8709,0.891
1.241000,-0.1087,0.1579,-0.8647,0.886
1.244000,-0.0884,0.1925,-0.7667,0.795
1.250000,-0.1448,0.2454,-0.6701,0.728
1.255000,-0.1873,0.2946,-0.5244,0.630
1.260000,-0.2492,0.2989,-0.3029,0.493
1.266000,-0.2967,0.2888,-0.0339,0.415
1.270000,-0.3275,0.2615,0.2376,0.482
1.275000,-0.3372,0.2069,0.4857,0.626
1.281000,-0.3545,0.1845,0.6844,0.793
1.285000,-0.3439,0.1152,0.8003,0.879
1.290000,-0.3436,0.0494,0.8120,0.883
1.295000,-0.3323,-0.0246,0.7480,0.819
1.300000,-0.3212,-0.1111,0.6154,0.703
1.305000,-0.2554,-0.1741,0.5167,0.602
1.311000,-0.2015,-0.2516,0.3873,0.504
1.316000,-0.1476,-0.3267,0.1984,0.410
1.322000,-0.0716,-0.4038,0.0717,0.416
1.327000,0.0052,-0.4470,-0.0311,0.448
1.330000,0.0733,-0.4703,-0.1033,0.487
1.336000,0.1183,-0.4449,-0.1809,0.495
1.341000,0.1522,-0.3946,-0.2304,0.482
1.347000,0.1722,-0.3480,-0.2091,0.441
1.352000,0.1592,-0.2792,-0.1262,0.345
1.358000,0.1348,-0.2338,-0.0105,0.270
1.362000,0.1010,-0.1980,0.1577,0.273
1.367000,0.0432,-0.1745,0.3068,0.356
1.371000,0.0210,-0.1659,0.4036,0.437
1.377000,-0.0038,-0.1533,0.5081,0.531
1.382000,0.0096,-0.0963,0.6084,0.616
1.387000,0.0355,-0.0235,0.6879,0.689
1.392000,0.0996,0.0506,0.7156,0.724
1.396000,0.1018,0.0712,0.6793,0.691
1.403000,0.1060,0.1366,0.6078,0.632
1.407000,0.0979,0.1633,0.4983,0.533
1.413000,0.0891,0.1996,0.3770,0.436
1.418000,0.0939,0.2408,0.2651,0.370
1.422000,0.1465,0.2895,0.2152,0.389
1.428000,0.2038,0.3195,0.1746,0.417
1.433000,0.2825,0.3594,0.1744,0.489
1.438000,0.3134,0.3827,0.1835,0.528
1.443000,0.3367,0.4111,0.1851,0.563
1.449000,0.3260,0.4159,0.1697,0.555
1.453000,0.3148,0.4137,0.1876,0.553
1.459000,0.3173,0.3805,0.2030,0.535
1.465000,0.3479,0.3495,0.2351,0.546
1.469000,0.3801,0.3137,0.2442,0.550
1.479000,0.4257,0.2325,0.2798,0.560
1.480000,0.4659,0.1323,0.2705,0.555
1.484000,0.5224,0.0607,0.2145,0.568
1.488000,0.5617,-0.0372,0.1430,0.581
1.494000,0.5794,-0.1539,0.0156,0.600
1.498000,0.5952,-0.2390,-0.1412,0.657
1.504000,0.6092,-0.3570,-0.2941,0.765
1.509000,0.6363,-0.4145,-0.4362,0.876
1.513000,0.6712,-0.4690,-0.5867,1.007
1.518000,0.6596,-0.5389,-0.7388,1.128
1.526000,0.6325,-0.5602,-0.8546,1.202
1.529000,0.5872,-0.5534,-0.9172,1.222
1.534000,0.5024,-0.5501,-0.9809,1.232
1.544000,0.4047,-0.4975,-1.0408,1.223
1.545000,0.3635,-0.4150,-0.9584,1.106
1.554000,0.3043,-0.3670,-0.8460,0.971
1.554000,0.1497,-0.3106,-0.7444,0.820
1.566000,-0.0117,-0.2678,-0.6055,0.662
1.567000,-0.1055,-0.1620,-0.3933,0.438
1.570000,-0.1706,-0.0704,-0.1219,0.221
1.575000,-0.2594,-0.0125,0.1326,0.292
1.580000,-0.3773,0.0235,0.3249,0.498
1.584000,-0.4886,0.0087,0.4672,0.676
1.590000,-0.6028,0.0337,0.5956,0.848
1.595000,-0.6963,0.0340,0.6767,0.972
1.601000,-0.7400,0.0428,0.7202,1.034
1.607000,-0.7868,0.0338,0.7478,1.086
1.611000,-0.8057,-0.0051,0.7453,1.098
1.616000,-0.8470,-0.0377,0.6814,1.088
1.621000,-0.8293,-0.0688,0.5824,1.016
1.625000,-0.8388,-0.0739,0.4216,0.942
1.630000,-0.8252,-0.0575,0.2131,0.854
1.636000,-0.8169,-0.0213,0.0377,0.818
1.643000,-0.7492,0.0637,-0.1215,0.762
1.647000,-0.6556,0.1343,-0.2202,0.705
1.651000,-0.5796,0.1865,-0.2811,0.671
1.660000,-0.5046,0.2442,-0.3045,0.638
1.662000,-0.4452,0.2386,-0.2981,0.586
1.666000,-0.3989,0.2506,-0.2451,0.531
1.671000,-0.3584,0.2610,-0.1411,0.465
1.676000,-0.2783,0.2931,0.0186,0.405
1.681000,-0.1635,0.2966,0.2054,0.396
1.686000,-0.0639,0.2807,0.3766,0.474
1.691000,0.0323,0.2453,0.4971,0.555
1.696000,0.1061,0.2070,0.6268,0.669
1.702000,0.1552,0.1680,0.7040,0.740
1.706000,0.2106,0.1237,0.7149,0.755
1.712000,0.2723,0.0886,0.6526,0.713
1.716000,0.3454,0.0698,0.5700,0.670
1.723000,0.3924,0.0153,0.5572,0.682
1.727000,0.4560,-0.0130,0.4902,0.670
1.732000,0.4908,-0.0675,0.4099,0.643
1.738000,0.5396,-0.1433,0.3163,0.642
1.742000,0.5527,-0.2022,0.2452,0.638
1.748000,0.5852,-0.2395,0.1844,0.659
1.753000,0.6110,-0.2956,0.0840,0.684
1.758000,0.6373,-0.3062,-0.0132,0.707
1.771000,0.6550,-0.3093,-0.0717,0.728
1.771000,0.6640,-0.3076,-0.1321,0.744
1.781000,0.6888,-0.2486,-0.1660,0.751
1.781000,0.6793,-0.1897,-0.1382,0.719
1.783000,0.6522,-0.1168,-0.0965,0.670
1.788000,0.5525,-0.0440,-0.0412,0.556
1.793000,0.4135,0.0001,-0.0128,0.414
1.798000,0.2210,0.0513,0.0458,0.231
1.803000,0.0434,0.0692,0.1084,0.136
1.808000,-0.1147,0.0989,0.1750,0.231
1.814000,-0.2436,0.0973,0.2769,0.381
1.819000,-0.3243,0.0668,0.4044,0.523
1.827000,-0.3646,0.0712,0.5102,0.631
1.828000,-0.3932,0.0342,0.5946,0.714
1.834000,-0.4295,-0.0037,0.6103,0.746
1.838000,-0.4451,-0.0521,0.5250,0.690
1.844000,-0.4948,-0.1129,0.3698,0.628
1.848000,-0.5332,-0.1761,0.1498,0.581
1.853000,-0.5174,-0.2438,-0.0942,0.580
1.862000,-0.4474,-0.2848,-0.3150,0.617
1.864000,-0.3543,-0.3202,-0.5271,0.711
1.870000,-0.2471,-0.3500,-0.6881,0.811
1.875000,-0.1450,-0.3811,-0.8246,0.920
1.879000,-0.0814,-0.4014,-0.9538,1.038
1.884000,-0.0111,-0.4132,-1.0426,1.121
1.890000,0.0304,-0.3805,-1.1034,1.168
1.894000,0.0481,-0.3535,-1.0798,1.137
1.901000,0.0920,-0.3277,-1.0124,1.068
1.905000,0.1053,-0.2917,-0.8538,0.908
1.909000,0.1331,-0.2792,-0.6446,0.715
1.915000,0.1302,-0.2906,-0.4039,0.514
1.921000,0.1086,-0.3237,-0.1886,0.390
1.925000,0.0968,-0.3360,0.0091,0.350
1.930000,0.1018,-0.3063,0.1702,0.365
1.935000,0.0403,-0.2611,0.2643,0.374
1.944000,0.0579,-0.2101,0.3513,0.413
1.945000,0.0919,-0.2008,0.4335,0.487
1.950000,0.0110,-0.2066,0.3875,0.439
1.955000,-0.0988,-0.2295,0.2876,0.381
1.964000,-0.1418,-0.2239,0.2172,0.343
1.965000,-0.0898,-0.2042,0.1594,0.274
1.970000,-0.0240,-0.1800,0.0948,0.205
1.975000,0.0293,-0.1629,0.0379,0.170
1.982000,0.0702,-0.1862,-0.0140,0.200
1.986000,0.1037,-0.1807,-0.0917,0.228
1.992000,0.1614,-0.1704,-0.1141,0.261
1.996000,0.2360,-0.1364,-0.0984,0.290
2.002000,0.2492,-0.1072,-0.0853,0.284
2.008000,0.2369,-0.0949,-0.0864,0.269
2.012000,0.2204,-0.0849,-0.1067,0.259
2.016000,0.2022,-0.0439,-0.1269,0.243
2.022000,0.1581,0.0137,-0.0927,0.184
2.026000,0.1475,0.0571,-0.0995,0.187
2.032000,0.1011,0.1104,-0.0950,0.177
2.037000,0.0477,0.1519,-0.0104,0.160
2.043000,0.0300,0.2007,0.0564,0.211
2.047000,0.0097,0.2208,0.1796,0.285
2.052000,0.0059,0.2026,0.2875,0.352
2.061000,0.0138,0.2007,0.4068,0.454
2.062000,0.0025,0.1671,0.5211,0.547
2.067000,-0.0138,0.1588,0.5901,0.611
2.074000,-0.0328,0.1306,0.5906,0.606
2.077000,-0.0641,0.0469,0.5373,0.543
2.083000,-0.0817,-0.0084,0.4187,0.427
2.088000,-0.0616,-0.0401,0.2517,0.262
2.092000,-0.0487,-0.0859,0.0671,0.119
2.098000,0.0260,-0.0833,-0.1306,0.157
2.104000,0.1100,-0.0537,-0.2870,0.312
2.108000,0.1605,-0.0398,-0.4241,0.455
2.113000,0.1942,-0.0269,-0.5161,0.552
2.118000,0.2137,-0.0104,-0.5516,0.592
2.123000,0.1929,-0.0023,-0.5022,0.538
2.129000,0.1770,-0.0552,-0.3899,0.432
2.133000,0.1829,-0.0527,-0.1956,0.273
2.139000,0.1346,-0.1290,0.0069,0.187
2.144000,0.1369,-0.1675,0.2179,0.307
2.148000,0.1229,-0.2117,0.3712,0.445
2.154000,0.0829,-0.2711,0.4770,0.555
2.161000,0.0405,-0.3268,0.4881,0.589
2.170000,-0.0186,-0.3287,0.4290,0.541
2.170000,-0.0754,-0.3220,0.2975,0.445
2.176000,-0.1084,-0.3516,0.1012,0.382
2.178000,-0.1105,-0.3716,-0.1030,0.401
2.185000,-0.0889,-0.3913,-0.2960,0.499
2.189000,-0.0290,-0.3652,-0.4808,0.604
2.194000,0.0311,-0.3410,-0.6170,0.706
2.200000,0.0963,-0.2921,-0.7174,0.781
2.205000,0.1407,-0.2116,-0.7657,0.807
2.210000,0.1905,-0.1115,-0.7290,0.762
2.214000,0.1671,-0.0324,-0.6437,0.666
2.220000,0.1347,0.0302,-0.5408,0.558
2.225000,0.0194,0.0763,-0.3871,0.395
2.230000,-0.0979,0.1056,-0.2301,0.271
2.235000,-0.2056,0.1276,-0.0461,0.246
2.240000,-0.2867,0.1730,0.1151,0.354
2.245000,-0.3348,0.2129,0.2705,0.480
2.250000,-0.3807,0.2639,0.4250,0.629
2.257000,-0.4057,0.3068,0.5192,0.727
2.259000,-0.4435,0.3060,0.5679,0.783
2.265000,-0.4374,0.2478,0.5525,0.747
2.271000,-0.4230,0.1655,0.5448,0.709
2.278000,-0.3740,0.0855,0.5401,0.663
2.280000,-0.2901,0.0198,0.5242,0.599
2.285000,-0.1784,-0.0912,0.4710,0.512
2.299000,-0.0553,-0.2137,0.3641,0.426
2.300000,0.0342,-0.3000,0.2586,0.398
2.301000,0.1164,-0.3737,0.1088,0.406
2.306000,0.1891,-0.4013,-0.0780,0.450
2.311000,0.2548,-0.3755,-0.2212,0.505
2.317000,0.3231,-0.3059,-0.2930,0.533
2.321000,0.4037,-0.1810,-0.3058,0.538
2.326000,0.4158,-0.0890,-0.2603,0.499
2.332000,0.3909,-0.0155,-0.1235,0.410
2.336000,0.3381,0.0557,0.0471,0.346
2.341000,0.2286,0.1125,0.2540,0.360
2.347000,0.1170,0.1116,0.4689,0.496
2.351000,0.0034,0.1265,0.6968,0.708
2.359000,-0.0932,0.1377,0.9120,0.927
2.361000,-0.1278,0.1444,1.0818,1.099
2.367000,-0.1389,0.1204,1.1761,1.190
2.372000,-0.1575,0.0539,1.1645,1.176
2.378000,-0.1789,0.0002,1.0527,1.068
2.382000,-0.2125,-0.0571,0.8078,0.837
2.387000,-0.2107,-0.1293,0.4709,0.532
2.398000,-0.1853,-0.1561,0.1204,0.271
2.399000,-0.1220,-0.1396,-0.2393,0.303
2.402000,-0.0328,-0.1317,-0.5540,0.570
2.407000,0.0447,-0.1083,-0.7699,0.779
2.412000,0.1220,-0.1029,-0.7854,0.801
2.418000,0.1250,-0.0772,-0.8922,0.904
2.424000,0.1393,-0.0500,-1.0019,1.013
2.428000,0.1034,-0.0426,-1.0482,1.054
2.434000,0.0800,-0.0406,-0.9958,1.000
2.438000,0.0790,-0.0302,-0.8499,0.854
2.443000,0.1167,0.0022,-0.6465,0.657
2.449000,0.0979,0.0227,-0.4235,0.435
2.452000,0.0704,-0.0094,-0.1760,0.190
2.461000,0.0408,-0.0373,0.0225,0.060
2.463000,-0.0221,-0.0658,0.1703,0.184
2.468000,-0.1039,-0.1209,0.2296,0.280
2.479000,-0.1812,-0.1337,0.2581,0.343
2.480000,-0.2534,-0.1351,0.2561,0.385
2.486000,-0.2730,-0.1205,0.2641,0.399
2.488000,-0.2832,-0.1137,0.2369,0.386
2.494000,-0.2388,-0.1096,0.1507,0.303
2.499000,-0.1781,-0.1459,0.1033,0.252
2.505000,-0.1730,-0.1673,0.0013,0.241
2.509000,-0.1920,-0.1404,-0.0909,0.255
2.514000,-0.1825,-0.0796,-0.1641,0.258
2.519000,-0.1066,-0.0282,-0.0924,0.144
2.524000,-0.0719,-0.0145,-0.0361,0.082
2.530000,-0.1022,-0.0482,0.0267,0.116
2.535000,-0.1068,-0.0603,0.0818,0.147
2.539000,-0.0926,-0.1154,0.1984,0.247
2.545000,-0.0497,-0.1612,0.3289,0.370
2.550000,0.0239,-0.1981,0.4236,0.468
2.554000,0.0806,-0.2218,0.4497,0.508
2.560000,0.1157,-0.2653,0.4171,0.508
2.564000,0.1769,-0.2974,0.3143,0.467
2.569000,0.1951,-0.3416,0.1653,0.427
2.576000,0.2424,-0.3331,0.0008,0.412
2.579000,0.2875,-0.2813,-0.1436,0.427
2.585000,0.3397,-0.2149,-0.2544,0.476
2.590000,0.3490,-0.1621,-0.3249,0.504
2.596000,0.3418,-0.1274,-0.3555,0.509
2.601000,0.3374,-0.0655,-0.3276,0.475
2.609000,0.3403,-0.0052,-0.2440,0.419
2.610000,0.3218,0.0698,-0.0717,0.337
2.615000,0.2702,0.1000,0.1363,0.319
2.621000,0.1902,0.1208,0.3542,0.420
2.625000,0.1030,0.1223,0.5822,0.604
2.631000,0.0486,0.1255,0.7566,0.768
2.636000,0.0223,0.1064,0.9516,0.958
2.642000,0.0220,0.0959,1.0960,1.100
2.646000,0.0738,0.0818,1.2046,1.210
2.652000,0.1132,0.0475,1.2636,1.270
2.656000,0.1567,0.0050,1.2281,1.238
2.662000,0.1471,-0.0810,1.1204,1.133
2.668000,0.1563,-0.1554,0.9739,0.999
2.671000,0.1461,-0.2014,0.7533,0.793
2.677000,0.1645,-0.2615,0.5418,0.624
2.681000,0.1951,-0.3283,0.3180,0.497
2.686000,0.2072,-0.3565,0.1078,0.426
2.697000,0.2318,-0.3911,-0.0748,0.461
2.698000,0.2906,-0.3987,-0.2350,0.546
2.702000,0.3287,-0.4007,-0.3445,0.622
2.708000,0.3349,-0.4068,-0.4085,0.667
2.712000,0.3203,-0.3860,-0.2754,0.572
2.717000,0.2131,-0.3598,-0.3959,0.576
2.723000,0.1586,-0.3302,-0.4546,0.584
2.728000,0.0789,-0.2923,-0.4024,0.504
2.733000,0.0433,-0.1966,-0.2424,0.315
2.738000,0.0348,-0.1174,-0.0416,0.129
2.745000,-0.0094,-0.0669,0.1358,0.152
2.747000,-0.1011,-0.0499,0.3257,0.345
2.752000,-0.1833,-0.0687,0.5094,0.546
2.762000,-0.2561,-0.0831,0.7132,0.762
