time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.005000,0.1194,0.2488,0.1359,0.308
0.005000,0.1241,0.1808,0.0240,0.221
0.006000,0.1355,0.1548,-0.0334,0.208
0.006000,0.2081,0.1157,-0.1553,0.284
0.012000,0.2726,0.1301,-0.2368,0.384
0.016000,0.2876,0.1644,-0.2856,0.437
0.021000,0.1794,0.1709,-0.4184,0.486
0.026000,0.1710,0.1473,-0.4204,0.477
0.034000,0.2550,0.1290,-0.2210,0.361
0.036000,0.3196,0.1514,-0.1087,0.370
0.041000,0.4096,0.1189,-0.0495,0.429
0.047000,0.4354,0.0272,0.0520,0.439
0.053000,0.2049,-0.1114,0.0534,0.239
0.057000,0.2750,-0.1145,0.1671,0.342
0.062000,0.3104,-0.1161,0.1286,0.355
0.067000,0.3024,-0.1254,0.0909,0.340
0.071000,0.2827,-0.1849,0.0682,0.345
0.078000,0.1736,-0.2729,0.0415,0.326
0.082000,-0.1181,-0.3106,0.0863,0.343
0.087000,-0.0310,-0.2536,-0.0778,0.267
0.092000,-0.0290,-0.2497,-0.0622,0.259
0.098000,-0.0700,-0.2794,0.0341,0.290
0.103000,-0.1132,-0.3420,0.1177,0.379
0.107000,-0.1277,-0.3849,0.1600,0.436
0.113000,-0.1567,-0.3724,0.1944,0.448
0.117000,-0.1480,-0.3766,0.2379,0.469
0.123000,-0.1920,-0.3972,0.3190,0.544
0.128000,-0.2313,-0.4345,0.4184,0.646
0.133000,-0.2782,-0.4886,0.4818,0.740
0.139000,-0.3045,-0.5785,0.5308,0.842
0.146000,-0.3096,-0.6353,0.5777,0.913
0.148000,-0.2768,-0.7003,0.7064,1.032
0.153000,-0.2203,-0.7378,0.7215,1.055
0.158000,-0.1330,-0.8363,0.6646,1.076
0.163000,-0.0742,-0.8812,0.5958,1.066
0.169000,-0.0052,-0.9059,0.4698,1.020
0.174000,0.0358,-0.9222,0.2606,0.959
0.178000,0.1226,-0.9271,0.0255,0.936
0.185000,0.1888,-0.8898,-0.1950,0.930
0.188000,0.2418,-0.8384,-0.3850,0.954
0.194000,0.2772,-0.7704,-0.5474,0.985
0.199000,0.3135,-0.6737,-0.7090,1.027
0.204000,0.3271,-0.5528,-0.8344,1.053
0.209000,0.3157,-0.4433,-0.9243,1.073
0.213000,0.2370,-0.3282,-0.9602,1.042
0.219000,0.1960,-0.2055,-0.9352,0.977
0.224000,0.1305,-0.0872,-0.8616,0.876
0.229000,0.0497,0.0243,-0.7517,0.754
0.234000,-0.0536,0.0907,-0.6577,0.666
0.239000,-0.2531,0.0860,-0.5056,0.572
0.245000,-0.3654,0.0986,-0.3887,0.543
0.250000,-0.4557,0.1399,-0.2897,0.558
0.254000,-0.5077,0.1886,-0.2254,0.587
0.260000,-0.5627,0.2519,-0.1933,0.646
0.265000,-0.6206,0.3061,-0.1625,0.711
0.269000,-0.6840,0.3514,-0.0952,0.775
0.275000,-0.7316,0.4163,-0.0057,0.842
0.279000,-0.7349,0.4529,0.0750,0.867
0.285000,-0.6636,0.4445,0.2281,0.831
0.290000,-0.6990,0.4126,0.3368,0.879
0.295000,-0.7122,0.3285,0.3804,0.872
0.301000,-0.6297,0.2567,0.4498,0.815
0.305000,-0.5473,0.1923,0.4902,0.759
0.311000,-0.4316,0.0996,0.4804,0.653
0.316000,-0.3415,0.0334,0.4734,0.585
0.321000,-0.2122,-0.0207,0.5095,0.552
0.325000,-0.0249,-0.0392,0.5076,0.510
0.330000,0.1179,-0.0314,0.4441,0.461
0.335000,0.1530,-0.0354,0.3311,0.366
0.345000,0.2500,-0.0082,0.3257,0.411
0.347000,0.3233,0.0383,0.3630,0.488
0.352000,0.3870,0.0397,0.3592,0.529
0.356000,0.4241,0.0485,0.3884,0.577
0.362000,0.3609,-0.0136,0.3768,0.522
